英语文摘2020年7-12合订本	￥68.00	世界知识出版社	穆媛	https://item.jd.com/12796591.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/171370/29/5896/363930/601f963aE8de2cbdc/9e7191192358c8ab.jpg
常州发货津津有味·读经典：威尼斯商人英文分级阅读LEVEL3（无光盘）适用于9年级	￥16.00	译林出版社	本书编写组	https://item.jd.com/46247363909.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/125106/12/9963/386329/5f3c8c5aE57f6daa6/2a7f726338585998.jpg
迪士尼大电影双语阅读.心灵奇旅Soul少儿童课外小学梦想电影动画片故事书童话英语英汉赠音频	￥29.80	华东理工大学出版社	青橙英语	https://item.jd.com/10025480121765.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/140843/6/18955/120678/5fdc6dc9E31da5a65/7f7c57baa4c59b4b.jpg
经典英语学习书每天读点英语名著扫码伴读外国经典文学名著原版英汉对照阅读青少年成人读名著学英语	￥19.90	新疆生产建设兵团出版社	王书芳	https://item.jd.com/10038367097360.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/207532/35/13850/285332/61c44008E3d58e666/60f33c27f817dfdc.jpg
正版新书经典英语学习书每天读点英语句型103个高频使用句型学英语入门书籍附赠配套音频每	￥16.00	新疆生产建设兵团出版社	金文乐	https://item.jd.com/10038366150304.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/200598/39/17236/344509/61949c71Ecfb4d8e0/b45a8d051d11ea6f.jpg
正版新书经典英语学习书每天读点英语俚语附赠配套音频英语日常用对话大全示例学英语口语标准发	￥21.00	新疆生产建设兵团出版社	金文乐	https://item.jd.com/10038371267168.html	https://img13.360buyimg.com/n1/s200x200_jfs/t1/217913/25/4679/288864/61949c70E551a5967/5550e4b99cc38ae6.jpg
鲁宾孙漂流记书虫牛津英汉双语读物2级适合初二、初三年级中学生课外阅读英汉对照双语读	￥4.50	外语教学与研究出版社	(英)笛福	https://item.jd.com/33562468929.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/1285/32/9535/276255/5bac99b0E59eee88f/beeca22007bd8019.jpg
大电影双语阅读.Marvel'sIronMan2钢铁侠2(赠英文音频、电子书及核心词	￥45.00	华东理工大学出版社	美国漫威公司	https://item.jd.com/12838770.html	https://img10.360buyimg.com/n1/s200x200_jfs/t1/87078/29/18027/291336/5e8d3b7eEd95a4c76/879a8ed87ca49a08.jpg
《英语文摘》2019年1-12期合订本	￥130.00	世界知识出版社	穆媛	https://item.jd.com/12899926.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/148879/34/3042/328273/5f0fff39Ea22dc41d/cc91369641edc133.jpg
用英语介绍中国传统文化+用英语介绍中国美食+用英语介绍中国地理人文全3册汉英对照掌握	￥64.50	中国水利水电出版社	赵云利刘景琳王云赵秋嘉	https://item.jd.com/10026664220421.html	https://img11.360buyimg.com/n1/s200x200_jfs/t1/206135/3/15637/488387/61962494E3ce1612b/b7deccb0938a0f5b.jpg
【现货】迪士尼大电影双语阅读.寻龙传说RayaandtheLastDragon赠英文音频	￥29.80	华东理工大学出版社	青橙英语	https://item.jd.com/10028154023274.html	https://img14.360buyimg.com/n1/s200x200_jfs/t1/161905/12/14496/443244/6059916aE2c434606/a138ce975d0f4c20.jpg
